week_start,operating_system,user_type,sessions,gameplay_anytime_rate,gameplay_within_15s_rate,gameplay_within_30s_rate,promo_event_rate,promo_before_gameplay_rate,deposit_window_rate,deposit_initiated_rate,deposit_success_rate,scroll_rate,search_rate
2025-12-29,Android,RETURNING_USER,5996,0.39109406270847225,0.19312875250166781,0.27284856571047367,0.030687124749833223,0.011174116077384924,0.20180120080053365,0.1054036024016011,0.2114743162108072,0.27868579052701808,0.061707805203468989
2025-12-29,iOS,RETURNING_USER,3883,0.43188256502704092,0.31393252639711566,0.36543909348441922,0.023177955189286635,0.010301313417460725,0.22482616533608038,0.094514550605202183,0.24414112799381921,0.28895184135977342,0.074169456605717249
2025-12-29,Android,NEW_USER,3016,0.38992042440318309,0.16710875331564989,0.26094164456233421,0.036803713527851466,0.010610079575596816,0.27221485411140578,0.14025198938992045,0.24005305039787797,0.21850132625994695,0.085543766578249331
2025-12-29,iOS,NEW_USER,1753,0.4922989161437536,0.33143183114660574,0.39418140330861384,0.028522532800912728,0.010838562464346838,0.28921848260125493,0.11466058185966915,0.27324586423274388,0.2749572162007986,0.1003993154592128
2025-12-22,Android,RETURNING_USER,6106,0.18981329839502131,0.098755322633475265,0.13625941696691782,0.016213560432361614,0.0062233868326236489,0.096298722567965941,0.03095316082541763,0.058630854896822807,0.14231903046184083,0.033245987553226344
2025-12-22,iOS,RETURNING_USER,4004,0.19780219780219782,0.14035964035964035,0.16208791208791209,0.01073926073926074,0.0049950049950049941,0.097652347652347676,0.027722277722277724,0.0661838161838162,0.13511488511488512,0.034965034965034968
2025-12-22,Android,NEW_USER,2341,0.13797522426313541,0.061085006407518162,0.089278086287911146,0.016659547202050411,0.0055531824006834693,0.0862879111490816,0.030756087142246907,0.051260145237078177,0.084152071764203334,0.031610422896198205
2025-12-22,iOS,NEW_USER,1448,0.18646408839779011,0.13328729281767959,0.15538674033149177,0.011740331491712708,0.00414364640883978,0.083563535911602219,0.020718232044198894,0.050414364640883974,0.0904696132596685,0.039364640883977904
2025-12-15,Android,RETURNING_USER,5619,0.5831998576259122,0.28457020822210355,0.40701192382986295,0.054280121017974747,0.016017084890549923,0.2845702082221036,0.17067093788930415,0.27834134187577858,0.48798718633208754,0.090763481046449573
2025-12-15,iOS,RETURNING_USER,3914,0.66198262646908512,0.46653040367910065,0.5539090444557998,0.03551354113438937,0.013796627491057742,0.28870720490546758,0.12212570260602965,0.29381706693919274,0.5283597342871742,0.10321921308124683
